input_id,filename,category,description,code_required,original_path,publication_path,bytes,sha256,workbook_summary
prepared_hourly_pq,PQ.xlsx,prepared data,"Prepared hourly P-Q targets, target-history features, weather variables, and calendar variables used for training and evaluation.",True,LGBM_variance/Input/PQ.xlsx,Input/PQ.xlsx,13848247,aa08d38d241f30b158341fcd3da5e00b71b749406171954d9fa55e51129dc2b9,"[{""sheet"":""1"",""data_rows"":13102,""columns"":51,""first_index_value"":""2021-01-01 02:00:00"",""last_index_value"":""2022-06-30 23:00:00""},{""sheet"":""24"",""data_rows"":13080,""columns"":53,""first_index_value"":""2021-01-02 00:00:00"",""last_index_value"":""2022-06-30 23:00:00""},{""sheet"":""168"",""data_rows"":12936,""columns"":55,""first_index_value"":""2021-01-08 00:00:00"",""last_index_value"":""2022-06-30 23:00:00""}]"
search_origins_24,splits_search24.xlsx,development splits,Primary chronological development design with 24 forecast origins.,True,LGBM_variance/Input/splits_search24.xlsx,Input/splits_search24.xlsx,7703,0de749c8c2811b9c7b76d95e326a32e1ccc3b13cc8defce8a2fad3f54a5c3a46,"[{""sheet"":""24"",""data_rows"":24,""columns"":14,""first_index_value"":""2021-01-02 00:00:00"",""last_index_value"":""2021-01-02 00:00:00"",""first_test_start"":""2021-02-03 00:00:00"",""last_test_start"":""2021-09-27 00:00:00"",""last_test_end"":""2021-09-27 23:00:00"",""unique_origins"":24,""fit_gap_hours"":[0]}]"
search_origins_36,splits_search36.xlsx,development splits,Nested chronological development design extending the primary set to 36 origins.,True,LGBM_variance/Input/splits_search36.xlsx,Input/splits_search36.xlsx,9004,64b1d0450972f752310663b771aeeb6856adfd5b0defed48dccd588ffeb0f48c,"[{""sheet"":""24"",""data_rows"":36,""columns"":15,""first_index_value"":""2021-01-02 00:00:00"",""last_index_value"":""2021-01-02 00:00:00"",""first_test_start"":""2021-02-03 00:00:00"",""last_test_start"":""2021-09-30 00:00:00"",""last_test_end"":""2021-09-30 23:00:00"",""unique_origins"":36,""fit_gap_hours"":[0]}]"
search_origins_48,splits_search48.xlsx,development splits,Nested chronological development design extending the primary set to 48 origins.,True,LGBM_variance/Input/splits_search48.xlsx,Input/splits_search48.xlsx,9988,4ac448e0ab7ccc331bd113c63eb2210b4b3323e59b65b26d65a68d66b53dbf65,"[{""sheet"":""24"",""data_rows"":48,""columns"":15,""first_index_value"":""2021-01-02 00:00:00"",""last_index_value"":""2021-01-02 00:00:00"",""first_test_start"":""2021-02-03 00:00:00"",""last_test_start"":""2021-09-30 00:00:00"",""last_test_end"":""2021-09-30 23:00:00"",""unique_origins"":48,""fit_gap_hours"":[0]}]"
fitting_gap_sensitivity_48,splits_gap48.xlsx,sensitivity splits,"Forty-eight rows covering 12 origins and fitting gaps of 0, 24, 72, and 168 hours.",True,LGBM_variance/Input/splits_gap48.xlsx,Input/splits_gap48.xlsx,9076,84c76496b95f5bf3b8b7164a1f7c1e54245fcdaeeb8951e4be9cbd7526c4149e,"[{""sheet"":""24"",""data_rows"":48,""columns"":14,""first_index_value"":""2021-01-02 00:00:00"",""last_index_value"":""2021-01-02 00:00:00"",""first_test_start"":""2021-02-16 00:00:00"",""last_test_start"":""2021-09-27 00:00:00"",""last_test_end"":""2021-09-27 23:00:00"",""unique_origins"":12,""fit_gap_hours"":[0,24,72,168]}]"
event_challenge_16,splits_event16.xlsx,challenge splits,Sixteen later unusual-event origins reserved from Optuna tuning.,True,LGBM_variance/Input/splits_event16.xlsx,Input/splits_event16.xlsx,6833,d62ec3e6d9cafbc0c2598c3ae5e3e9caf48731ea8153423dfec4639d883901b1,"[{""sheet"":""24"",""data_rows"":16,""columns"":14,""first_index_value"":""2021-01-02 00:00:00"",""last_index_value"":""2021-01-02 00:00:00"",""first_test_start"":""2021-10-13 00:00:00"",""last_test_start"":""2022-01-14 00:00:00"",""last_test_end"":""2022-01-14 23:00:00"",""unique_origins"":16,""fit_gap_hours"":[0]}]"
historical_candidate_splits,splits_historical.xlsx,historical provenance,Original candidate-development split workbook used by the historical MUT-L24 model study.,True,LGBM_variance/Input/splits_historical.xlsx,Input/splits_historical.xlsx,25926,a95539d6a46afcc68b5fcafa01b0c53822565633eb74a0c5d83e379c134ec493,"[{""sheet"":""1"",""data_rows"":123,""columns"":9,""first_index_value"":0,""last_index_value"":122,""first_test_start"":""2021-02-08 00:00:00"",""last_test_start"":""2021-12-27 00:00:00"",""last_test_end"":""2021-12-27 23:00:00""},{""sheet"":""24"",""data_rows"":123,""columns"":9,""first_index_value"":0,""last_index_value"":122,""first_test_start"":""2021-02-09 00:00:00"",""last_test_start"":""2021-12-28 00:00:00"",""last_test_end"":""2021-12-28 23:00:00""},{""sheet"":""168"",""data_rows"":122,""columns"":9,""first_index_value"":0,""last_index_value"":121,""first_test_start"":""2021-02-15 00:00:00"",""last_test_start"":""2021-12-27 00:00:00"",""last_test_end"":""2021-12-27 23:00:00""}]"
target_normalization_scales,objective_scales.json,objective definition,Frozen P and Q RMSE scales from the previous-day seasonal-naive reference on SEARCH-24.,True,LGBM_variance/Input/objective_scales.json,Input/objective_scales.json,1410,95c0b811d9fc85e2ef8b4c432afb964c7907d2a0dd913cffb4ac0daeec1a6397,
historical_anchor_parameters,historical_mut_l24_params.json,historical anchor,Verified tunable parameter vector and provenance for the historical MUT-L24 anchor.,True,LGBM_variance/Input/historical_mut_l24_params.json,Input/historical_mut_l24_params.json,3504,f125a1e9c61fddf48ce8d399e4e2c268f550d6499990b74c7933c3049100ac62,
historical_anchor_source_P,historical_source_mut_l24_P.meta.json,historical anchor,Source metadata for the historical active-power estimator.,True,LGBM_variance/Input/historical_source_mut_l24_P.meta.json,Input/historical_source_mut_l24_P.meta.json,2442,6a50a90d1cdadebb4a77110179eeaab9413494d02e35d91920c9f3683f6f5d5d,
historical_anchor_source_Q,historical_source_mut_l24_Q.meta.json,historical anchor,Source metadata for the historical reactive-power estimator.,True,LGBM_variance/Input/historical_source_mut_l24_Q.meta.json,Input/historical_source_mut_l24_Q.meta.json,2442,95faaba595e8f5e3cc510a6c52084f14292ce3dec393f1c8421607a816637ba9,
execution_device_selection,device_selection.json,execution configuration,Recorded CPU/GPU preflight and the resulting CPU selection for the completed searches.,True,LGBM_variance/Input/device_selection.json,Input/device_selection.json,1968,d0f68b7550796632a6f3e90ceb0f0dd6c817b401532c475c0f7036607d1d4a9f,
split_design_protocol,split_design_manifest.json,protocol documentation,"Machine-readable definition and rationale for SEARCH-24, GAP-48, and EVENT-16.",False,LGBM_variance/split_design_manifest.json,Input/split_design_manifest.json,21109,ce2953e38319cbf6b02d4c7905cf7fb08e8836d64c72d3e21a5945656078b13d,
